"firm","link","business","companyintroduction","companyname","province","city","registeredcapital","datacertification","securitydeposit","businessmode","businessscope","productssold","productspurchased","mainindustry","companytype","companysize","registrationyear","component","service","endproduct","city_eng","province_eng"
"山东发那科工业装备有限公司","https://www.81uav.cn/com/258435100/","服务范围：3D打印，数控机床，工业机器人，焊接实训，智能自动化建设，职业院校实训室建设课题建设","山东发那科工业装备有限公司，坐落于美丽的影都山东青岛，主要产品为数控机床，工业机器人，自动化智能制造，及，3D打印，工业机器人，无人机等产品，服务与销售","山东发那科工业装备有限公司","山东","青岛","2000万人民币",NA,"已缴纳 0.00 元","制造商,贸易商,服务商","3D打印，数控机床，工业机器人，焊接实训，智能自动化建设，职业院校实训室建设课题建设","工业用品及职业院校实训产品","无人机","无人机培训 / 无人机其他培训 设备工具仪表 无人机展会活动 无人机租用服务 无人机整机 / 航拍无人机 无人机整机 / 植保无人机 反无人机系统","企业单位 (制造商,贸易商,服务商)","1-49人",2019,0,1,0,"Qingdao, subprovincial city in Shandong","Shandong"
"天津易科芯科技有限公司","https://www.81uav.cn/com/usw-tj/","服务范围：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；智能无人飞行器销售；通用设备修理；环境保护监测；环境监测专用仪器仪表销售；水质污染物监测及检测仪器仪表销售；海洋水质与生态环境监测仪器设备销售；环保咨询服务；水文服务；海洋环境服务；数据处理服务；水污染治理；地理遥感信息服务；信息系统集成服务；卫星遥感数据处理；工业设计服务；信息技术咨询服务；软件开发；试验机销售等。","天津易科芯科技有限公司，于2020年9月成立，注册资本500万元。专注于以无人机+水务业务为主的投资运营，业务涵盖无人机整机研发和销售、无人机智能取水取样和无人机水体环保监测，并积极探索无人机移动化快速监测解决方案、无人机多光谱遥感水体数字化监测等周边领域。截止目前，公司已开发一套无人机智能取水设备，具备移动化、自动化采样能力，未来将开展水体在线监测和水体可视化反演的业务拓展，来满足水体相关部门的多种需求，志在做低空数字化水体环保的拓展者。","天津易科芯科技有限公司","天津","天津","500万人民币",NA,"已缴纳 0.00 元","制造商","技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；智能无人飞行器销售；通用设备修理；环境保护监测；环境监测专用仪器仪表销售；水质污染物监测及检测仪器仪表销售；海洋水质与生态环境监测仪器设备销售；环保咨询服务；水文服务；海洋环境服务；数据处理服务；水污染治理；地理遥感信息服务；信息系统集成服务；卫星遥感数据处理；工业设计服务；信息技术咨询服务；软件开发；试验机销售等。","Not available","Not available","无人机整机 / 无人机配件 / 其他任务载荷","企业单位 (制造商)","1-49人",2020,1,0,0,"Tianjin","Tianjin"
"北京航景创新科技有限公司","https://www.81uav.cn/com/hjcx-888/","服务范围：无人直升机","北京航景创新科技有限公司于2008年设立于中关村科技园，现坐落于北京市高端制造业基地，是一家专注于工业级无人直升机系统的技术研发、产品制造和技术服务的高新技术企业。公司拥有一支高素质的研发、生产和服务团队，具备完整的无人直升机系统研发设计、生产制造、系统集成、飞行试验、交付以及售后服务能力。产品已广泛应用于军工军贸、应急救援、无人运投运输等领域。航景公司拥有30余项发明及设计专利、20余项软件著作权，通过质量管理体系认证及相关军工资质，具备完备的无人机生产经营资质，在北京拥有7000余平研发及生产测试场地。2020年被认定为北京市产业链龙头企业。 自成立伊始，航景人始终秉承“严肃认真、周到细致、稳妥可靠、万无一失”的工作作风，努力践行社会主义核心价值观，发扬“团结合作、高效务实，严谨创新，诚信服务”的企业文化，携手国内外战略合作伙伴，共同探索和实践合作共赢、协同创新、自主可持续的发展模式，努力建成集设计、研发、制造、试验验证等全产业能力为一体的航空无人飞行器系统领军企业。","北京航景创新科技有限公司","北京","北京","未填写",NA,"已缴纳 0.00 元","Not available","无人直升机","Not available","Not available","无人机整机 / 其他无人机","企业单位 ()",NA,2008,0,0,1,"Beijing, capital of People's Republic of China","Beijing, capital of People's Republic of China"
"上海宇楼技术有限公司","https://www.81uav.cn/com/yulou/","服务范围：上海无人机公司拥有测绘航测资质：专业遥感航测、智慧城市系统化三维建模、房地一体测量、管路巡查、城市违建检测、河道治理检测、工业区环保检测、电力系统精细化、土方测量、小区外墙脱落红外检测、交通巡查、工业级无人机外场航测培训、无人机出租、带飞、工程热线：13096609660 v ：13096609660","上海无人机公司拥有测绘航测资质：专业遥感航测、智慧城市系统化三维建模、房地一体测量、管路巡查、城市违建检测、河道治理检测、工业区环保检测、电力系统精细化、土方测量、小区外墙脱落红外检测、交通巡查、工业级无人机外场航测培训、无人机出租、带飞、工程热线：13096609660                         v ：13096609660","上海宇楼技术有限公司","上海","上海","未填写",NA,"已缴纳 0.00 元","服务商","上海无人机公司拥有测绘航测资质：专业遥感航测、智慧城市系统化三维建模、房地一体测量、管路巡查、城市违建检测、河道治理检测、工业区环保检测、电力系统精细化、土方测量、小区外墙脱落红外检测、交通巡查、工业级无人机外场航测培训、无人机出租、带飞、工程热线：13096609660 v ：13096609660","Not available","Not available","无人机整机 / 工业无人机","企业单位 (服务商)",NA,2020,0,0,1,"Shanghai","Shanghai"
"安徽云涯方寸地理信息技术有限公司","https://www.81uav.cn/com/ngwlz/","服务范围：测绘服务；不动产登记代理服务；地理遥感信息服务；国土空间规划编制；规划设计管理；土地整治服务；土地调查评估服务；地质灾害治理工程勘察与设计；；社会稳定风险评估；水土流失防治服务；生态恢复及生态保护服务；劳务服务。","安徽云涯方寸地理信息技术有限公司自2007年成立至今15年，一直从事测绘、土地规划工作。拥有测绘乙级、土地规划乙级、地质灾害治理工程勘察与设计丙级资质。取得质量管理标准体系认证、环境管理体系认证、职业健康安全管理体系认证、信息安全管理体系认证、AAA级重合同守信用企业，测绘、地理信息、国土资源调查、空间规划等19项软件著作权，正在申报国家级高新技术企业。是安徽省土地学会理事单位、安徽省测绘地理信息学会会员单位和安徽省不动产登记代理人协会常务理事单位。 人员与设备：现有各类专职从业人员52人，专业测绘人员26人，国土管理及土地规划人员12人，其中中高级工程师15人。拥有固定翼和多旋翼专业航测无人机、华测AS1300HL多平台激光雷达系统、海达PM1500 激光雷达系统、12000万像素航摄仪、全站仪、GPS(RTK)、测深仪、水准仪、测距仪等相关测绘仪器设备、大型绘图仪、各类型号的打印机，具备激光点云处理、测绘成图、三维模型制作、地理信息数据处理和航测影像处理能力。 主要业务类型：咨询评估类：项目建议书、可行性研究报告编制，水土保持方案、土地开发复垦方案编制，国土空间规划、土地整治规划、全域农村土地综合整治规划、基本农田保护规划及专题研究报告编制，社会稳定风险评估、节地评价、开发园区节约集约用地评价，矿产资源开发利用、地质环境恢复治理与土地复垦方案“三合一方案”、矿产储量评估及核实报告编制，征地、建设用地预审、规划选址及用地报批代理服务。勘查设计类：城乡建设用地增减挂钩、高标准农田建设、土地开发复垦等项目初步设计及预算编制，地质灾害治理工程勘查与设计、边坡治理设计、废弃矿山治理设计。测量调查类：不动产测绘（房产测绘、地籍测绘）、土地登记代理、工程测量（控制测量、地形测量、线路与桥隧测量、矿山测量、水利工程测量、变形形变与精密测量、地下管线测量、规划测量、市政工程测量）、测绘航空摄影、摄影测量与遥感、正射影像制作、实景三维建模，地理信息系统工程及数据库建设，线路、道路与管线巡检，权籍调查与权界勘界，自然资源调查、巡查与动态监测，土地矿产卫片及环境污染执法检查、复核等。 公司秉承用户第一、质量至上和创新进取的企业经营理念，致力于地理信息采集、处理、应用及相关专业软件的开发，已申报高新技术企业。公司无论在传统测绘、国土空间规划、项目规划设计方面还是在无人机航空摄影测绘和激光扫描测绘应用上均已具备丰富的经验，取得了良好的业绩，受到客户的好评。","安徽云涯方寸地理信息技术有限公司","安徽","合肥","600万人民币",NA,"已缴纳 0.00 元","服务商","测绘服务；不动产登记代理服务；地理遥感信息服务；国土空间规划编制；规划设计管理；土地整治服务；土地调查评估服务；地质灾害治理工程勘察与设计；；社会稳定风险评估；水土流失防治服务；生态恢复及生态保护服务；劳务服务。","测绘|国土空间规划|资源调查监测|土地咨询报批|地灾勘查设计","地理信息处理软件|地理信息系统平台|遥感图像处理软件及培训服务","无人机整机 / 工业无人机","企业单位 (服务商)","50-99人",2007,0,0,1,"Hefei prefecture level city in Anhui","Anhui"
"深圳市立嘉科技有限公司","https://www.81uav.cn/com/lika/","服务范围：无刷电机，传感器，舵机，螺旋桨","深圳市立嘉科技有限公司（LIKA TECH）专注于无刷电机领域，集专业研发、设计、生产、销售、服务为一体，致力于为客户提供具有外观精致、性能可靠、适用性强、超长寿命、超低成本的无刷电机产品和动力解决方案。 深圳市立嘉科技有限公司（LIKA TECH）产品涵盖外转子无刷电机、内转子无刷电机、带霍尔无刷电机、编码器无刷电机、空心杯电机、无刷电调、无刷电机驱动器、导电滑环等，广泛应用于无人机、多旋翼、无刷云台、影视航拍、机器人、雷达、低空物流、农业植保、工业自动化、汽车、安防设备、医疗器械、个人护理等诸多领域。 作为高品质无刷电机智造商，LIKA TECH非常注重研发投入，拥有深厚的技术积累和前瞻性的发展战略，目前业务已拓展到全球80多个国家，通过技术革新和个性化定制，协助客户打造出类拔萃的应用产品, 全力帮助客户取得成功。","深圳市立嘉科技有限公司","广东","深圳","100万人民币",NA,"已缴纳 0.00 元","制造商","无刷电机，传感器，舵机，螺旋桨","Not available","Not available","无人机整机 / 无人机配件 / 电机（马达） 无人机整机 / 无人机配件 / 传感器 无人机整机 / 无人机配件 / 螺旋桨 无人机整机 / 无人机配件 / 舵机","个体经营 (制造商)","1-49人",2017,1,0,0,"Shenzhen subprovincial city in Guangdong, special economic zone close Hong Kong","hillsides"
"广西擎芯动力科技有限公司","https://www.81uav.cn/com/qxdlkj/","服务范围：点燃式柴油缸内直喷航空发动机及燃油控制系统对军警无人机动力的定制化配套服务","广西擎芯动力科技有限公司是由多位行业资深权威专家共同发起成立, 致力于点燃式重油缸内直喷发动机及其核 心零部件的研发、评价与制造,同时建立点燃式重油缸内直喷发动机及其核心零部件的标准体系、评价体系和制造体 系,填补了我国该领域的空白。        公司以点燃式重油活塞发动机核心零部件为基础,搭建集成点燃式重油发动机开发、点燃式重油发动机核心零部 件开发、点燃式重油发动机电子燃油控制系统开发、验证、发动机匹配、OEM制造平台，旨在解决欧美长期垄断的 点燃式重油缸内直喷发动机在国防领域的应用。        擎芯动力团队运用在关键零部件以及核心设备开发30多年的丰富经验，经过辛苦科研公关，不到一年的时间就 取得丰硕成果，不但打破了国外封锁壁垒，而且研发成果已进行了多轮的军工设备验证，已处于小规模量产阶段。","广西擎芯动力科技有限公司","广西","南宁","4000万人民币",NA,"已缴纳 0.00 元","制造商,服务商","点燃式柴油缸内直喷航空发动机及燃油控制系统对军警无人机动力的定制化配套服务","点燃式柴油缸内直喷发动机\核心零部件\燃油控制系统\定制点燃式柴油缸内直喷发动机动力系统","Not available","无人机整机 / 军警无人机","企业单位 (制造商,服务商)",NA,2019,0,0,1,"Nanning prefecture level city in Guangxi","until 1959, Guangxi province"
"台州征衢机械有限公司","https://www.81uav.cn/com/zhqu101008/","服务范围：曲轴 连杆","【台州征衢机械有限公司】专业制造摩托车连杆总成、园林机械连杆总成、油锯连杆总成、舷外机连杆总成.航模连杆.无人机连杆等产品专业生产加工的有限责任公司,产品畅销全国各地以及马来西亚，南美，菲律宾，意大利等国家。欢迎新老客户咨询。联系人：胡力志总经理 电话热线：13676694321（微信同号），企业QQ:2731273063。","台州征衢机械有限公司","浙江","台州","100万人民币",NA,"已缴纳 0.00 元","制造商","曲轴 连杆","Not available","Not available","无人机通用件 / 轴承 无人机通用件 / 齿轮 无人机整机 / 植保无人机","企业单位 (制造商)","50-99人",2014,0,0,1,"Taizhou prefecture level city in Zhejiang","Zhejiang"
"江苏麦瑞龙新科技有限公司","https://www.81uav.cn/com/myuav-tethered-drone/","服务范围：工业级系缆悬停无人机系统、多旋翼无人机及大功率机载降压电源的研发、生产与应用","Not available","江苏麦瑞龙新科技有限公司","江苏","","1000万人民币",NA,"已缴纳 0.00 元","制造商,贸易商","工业级系缆悬停无人机系统、多旋翼无人机及大功率机载降压电源的研发、生产与应用","迈优威工业级系缆悬停无人机系统|迈优威多旋翼无人机|迈优威系缆无人机基站|迈优威大功率机载降压电源","Not available","无人机整机 / 航拍无人机 无人机整机 / 工业无人机 无人机整机 / 无人机配件 / 遥控器及地面站 无人机整机 / 无人机配件 / 电机（马达） 无人机整机 / 无人机配件 / 电源及充电设备 无人机整机 / 无人机配件 / 电池","企业单位 (制造商,贸易商)",NA,2018,1,0,0,NA,"Jiangsu"
"美国飞托克FITOK阀门(中国)有限公司","https://www.81uav.cn/com/fitok/","服务范围：FITOK阀门,FITOK球阀,FITOK针型阀,FITOK计量阀,FITOK安全阀,FITOK波纹管阀,FITOK隔膜阀,FITOK旋塞阀,FITOK过滤器,FITOK单向阀,FITOK泄放阀,FITOK仪表阀, FITOK阀组,FITOK管接头, FITOK卡套接头,FITOK双卡套接头,FITOK螺纹接头,FITOK焊接接头,FITOK软管,飞托克阀门,飞托克接头,飞托克针阀,飞托克球阀","美国飞托克FITOK阀门(中国)有限公司拥有完善的品质管理体系。德国工厂和中国（武汉、深圳和苏州）工厂都已通过了ISO9001:2015认证。产品获得了多国行业协会或认证机构的认证证书，其中包括TA-Luft（德国洁净空气标准）、ABS（美国船级社）、ASTM F1387（管道系统和配管的机械连接管件性能标准规范）、ISO15848（工业阀门散逸排放测量，测试和鉴定标准）、TPED（欧盟移动压力设备指令）、CRN（加拿大压力容器注册号）、DVGW（德国燃气与水工业协会）、PED（欧盟压力设备指令）、API 607（美国石油学会）、DOT（美国交通部）、ECE R110（欧洲经济委员会关于车用特定部件在其推进系统使用CNG和/或LNG的法规）和EC 79（欧盟氢动力车辆型式认可）证书等。","美国飞托克FITOK阀门(中国)有限公司","上海","上海","100万人民币",NA,"已缴纳 0.00 元","贸易商","FITOK阀门,FITOK球阀,FITOK针型阀,FITOK计量阀,FITOK安全阀,FITOK波纹管阀,FITOK隔膜阀,FITOK旋塞阀,FITOK过滤器,FITOK单向阀,FITOK泄放阀,FITOK仪表阀, FITOK阀组,FITOK管接头, FITOK卡套接头,FITOK双卡套接头,FITOK螺纹接头,FITOK焊接接头,FITOK软管,飞托克阀门,飞托克接头,飞托克针阀,飞托克球阀","FITOK阀门|FITOK接头|FITOK球阀|FITOK针型阀|FITOK计量阀|FITOK安全阀|FITOK波纹管阀|FITOK隔膜阀|FITOK旋塞阀|FITOK过滤器|FITOK单向阀|FITOK泄放阀|FITOK仪表阀|FITOK阀组|FITOK管接头|FITOK卡套接头|FITOK双卡套接头|FITOK螺纹接头|FITOK焊接接头|FITOK软管|飞托克阀门|飞托克接头|飞托克针阀","FITOK阀门|FITOK接头|FITOK球阀|FITOK针型阀|FITOK计量阀|FITOK安全阀|FITOK波纹管阀|FITOK隔膜阀|FITOK旋塞阀|FITOK过滤器|FITOK单向阀|FITOK泄放阀|FITOK仪表阀|FITOK阀组|FITOK管接头|FITOK卡套接头|FITOK双卡套接头|FITOK螺纹接头|FITOK焊接接头|FITOK软管|飞托克阀门|飞托克接头|飞托克针阀","无人机整机 反无人机系统 无人机通用件 无人机用品 设备工具仪表 无人机培训 无人机租用服务 无人机展会活动","事业单位或社会团体 (贸易商)","1-49人",2020,0,1,0,"Shanghai","Shanghai"
"广州市边锋领域科技有限公司","https://www.81uav.cn/com/bfly_911/","服务范围：电机，固定翼无人机，直升机航模","航模、无人机及动力系统领域科技品牌，为爱好者提供优质体验和产品服务。","广州市边锋领域科技有限公司","广东","广州","100万人民币",NA,"已缴纳 0.00 元","制造商","电机，固定翼无人机，直升机航模","电机|固定翼无人机|直升机航模","Not available","无人机整机 / 航拍无人机","企业单位 (制造商)","1-49人",2019,0,0,1,"Guangzhou subprovincial city and capital of Guangdong","hillsides"
"成都盛世千秋展览有限公司","https://www.81uav.cn/com/ssqq888/","服务范围：成都安防展、成都防灾减灾应急救援装备展","中国成都国际社会公共安全产品与技术展览会”（简称:成都国际安防展，英文缩写se）是由中国安全防范产品行业协会、四川省社会管理综合治理、四川省厅、四川省、四川省经济和信息化、成都市人民应急办、成都市社会治安综合治理办公室、成都市局、成都市经济和信息化、成都市博览局、四川省计算机信息安全协会、四川省消防协会、重庆市公共安全技术防范协会、浙江省安全技术防范行业协会、深圳市电子行业协会、四川省物联网产业发展联盟、成都物联网产业发展联盟、成都安全防范协会等众多单位相关业务部门关注、支持和共同打造的西部地区规模、档次、影响力度强的安防盛会。","成都盛世千秋展览有限公司","四川","成都","100万人民币",NA,"已缴纳 0.00 元","服务商","成都安防展、成都防灾减灾应急救援装备展","成都安防展、成都防灾减灾应急救援装备展","Not available","无人机展会活动 无人机整机 / 军警无人机","企业单位 (服务商)","1-49人",2010,0,0,1,"Chengdu","Sichuan"
"韩国TK-FUJIKIN阀门株式会社","https://www.81uav.cn/com/tksctvalves/","服务范围：TK-FUJIKIN阀门,TKSCT阀门,TK-FUJIKIN,TKSCT,TK-FUJIKIN接头,TK-FUJIKIN隔膜阀,TKF阀门,TK-F阀门,TKF接头,TKF手动隔膜阀,TKF气动隔膜阀,TK-FUJIKIN气动隔膜阀,TK-FUJIKIN手动隔膜阀,TK-FUJIKIN接头,TK-FUJIKIN焊接接头","韩国TK-FUJIKIN阀门株式会社以韩国第一家成功开发半导体及FPD生产线中所需的超洁净Fitting为开端，将现在为止全部依赖于外国进口的Valve、Regulator、Gas Filter、Gas Stick、Gas Panel及IGS（模组化气体供应系统）等产品群陆续地成功实现国产化开发，在半导体专用高纯气体管道配件材料领域的市场占有率中始终保持独占鳌头的第一位。已完成用于一般产业的Compression Fitting、Valve及Canister(Bubbler Type) 等产品群的开发，构建了关于气体管道材料的Line-up。于2009年被编入日本FUJIKIN集团后，产品群变得更丰富多样的同时使高品质管理体系也更上一层楼。在行情形势多变的半导体及FPD产业领域之外扩展一般产业产品群，广泛地开拓核能、水火力发电所、海洋工程、太阳能发电、CNG、燃料电池、生物产业、制药、及宇宙航空领域等所需的各种产品的研究开发、制造领域。而且，以长期积累的技术力为基础，开发出了世界第一个运用电解研磨技术的复合压力气体容器等，为提供奉献于本公司的使命——环境、社会、人类的世界水平的气体解决方案而不断成长。","韩国TK-FUJIKIN阀门株式会社","上海","上海","100万人民币",NA,"已缴纳 0.00 元","贸易商","TK-FUJIKIN阀门,TKSCT阀门,TK-FUJIKIN,TKSCT,TK-FUJIKIN接头,TK-FUJIKIN隔膜阀,TKF阀门,TK-F阀门,TKF接头,TKF手动隔膜阀,TKF气动隔膜阀,TK-FUJIKIN气动隔膜阀,TK-FUJIKIN手动隔膜阀,TK-FUJIKIN接头,TK-FUJIKIN焊接接头","TK-FUJIKIN阀门|TKSCT阀门|TK-FUJIKIN|TKSCT|TK-FUJIKIN接头|TK-FUJIKIN隔膜阀|TKF阀门I|TK-F阀门|TKF接头|TKF手动隔膜阀|TKF气动隔膜阀|TK-FUJIKIN气动隔膜阀|TK-FUJIKIN手动隔膜阀|TK-FUJIKIN接头|TK-FUJIKIN焊接接头","TK-FUJIKIN阀门|TKSCT阀门|TK-FUJIKIN|TKSCT|TK-FUJIKIN接头|TK-FUJIKIN隔膜阀|TKF阀门I|TK-F阀门|TKF接头|TKF手动隔膜阀|TKF气动隔膜阀|TK-FUJIKIN气动隔膜阀|TK-FUJIKIN手动隔膜阀|TK-FUJIKIN接头|TK-FUJIKIN焊接接头","无人机整机 反无人机系统 无人机通用件 无人机用品 设备工具仪表 无人机培训 无人机租用服务 无人机展会活动","事业单位或社会团体 (贸易商)","1-49人",2020,0,1,0,"Shanghai","Shanghai"
"武汉珈鹰智能科技有限公司","https://www.81uav.cn/com/jyaitech2018/","服务范围：工业无人机（不含民用航空器）的研发、销售、技术服务；机器人与工业自动化设备的技术服务、销售；传感器及其测试设备、智能材料的研发、销售；水资源环境的智能检测与监测；检验检测服务。（依法须经审批的项目，经相关部门审批后方可开展经营活动）","武汉珈鹰智能科技有限公司由武汉大学资深教授主导创立，技术团队核心成员均为武大、香港科大、清华、北航等知名高校的博士及教授，专业涉及力学、土木、机械、测绘、电信等研究领域，他们不仅专业技术权威精湛，同时具备丰富的研发及管理经验。 seline; box-sizing: border-box; text-indent: 32px;"">依托自身强大的研发创新实力，并借助武大水利、测绘、卫星导航定位、电信、建筑物检测与加固等国家重点实验室，进行多学科交叉和资源整合。我公司专注于人工智能、机器视觉、算法、图像处理等领域的深度研究，及其在大型建构筑物安全检测方面的应用。公司主要解决方案有：无人机桥梁检测、无人机变形监测、实时变形监测预警、InSAR变形监测及其他定制解决方案。目前已拥有多项国内外领先技术和专利。","武汉珈鹰智能科技有限公司","湖北","武汉","1000万人民币",NA,"已缴纳 0.00 元","Not available","工业无人机（不含民用航空器）的研发、销售、技术服务；机器人与工业自动化设备的技术服务、销售；传感器及其测试设备、智能材料的研发、销售；水资源环境的智能检测与监测；检验检测服务。（依法须经审批的项目，经相关部门审批后方可开展经营活动）","无人机桥梁检测、无人机变形监测、裂缝智能识别软件、定制开发服务","工业无人机、工业相机、飞手","无人机整机 / 工业无人机","企业单位 ()","1-49人",2018,0,0,1,"Wuhan city on Changjiang, subprovincial city and capital of Hubei province","Hubei"
"绵阳天越科技有限公司","https://www.81uav.cn/com/ty123456/","服务范围：无人机整机设计制造，无人机租赁","绵阳天越科技有限公司创立于2020年，秉承技术创新、军工品质、服务至上的理念，以无人机设计、飞行控制、机载任务设备以及系统集成为核心致力于为用户提供多用途、高性能、一体化的工业级无人机系统解决方案。","绵阳天越科技有限公司","四川","绵阳","100万人民币",NA,"已缴纳 0.00 元","制造商","无人机整机设计制造，无人机租赁","越鹰T-25，越鹰V-20，越警T-35","Not available","无人机整机 / 植保无人机 无人机整机 / 航拍无人机 无人机整机 / 工业无人机 无人机整机 / 军警无人机 无人机培训 / 无人机驾驶培训 无人机租用服务 / 影视航拍 无人机租用服务 / 植保作业 无人机租用服务 / 工业应用 无人机租用服务 / 安防监控 无人机租用服务 / 其他租用","企业单位 (制造商)","1-49人",2020,0,1,0,"Mianyang prefecture level city in north Sichuan, Sichuan's second city","Sichuan"
"廊坊市航途科技有限公司","https://www.81uav.cn/com/htkjuav/","服务范围：航途科技是一家专业从事无人机系统 解决方案厂家，以及相关产品研发生产， 销售遍布国内外，是集专业研发、生产、 销售为一体的全球无人机企业。公司产 品广泛的应用于电力巡线、石油管道巡 线、地理测绘、森林防火、警用安防、 边防巡查等行业领域。通过搭载不同的 任务载荷、高效且有针对性的解决上述 各领域的实际行业需求。","航途科技           航途科技是一家专业从事无人机系统 解决方案厂家，以及相关产品研发生产， 销售遍布国内外，是集专业研发、生产、 销售为一体的全球无人机企业。 公司产品广泛的应用于电力巡线、石油管道巡 线、地理测绘、森林防火、警用安防、 边防巡查等行业领域。 通过搭载不同的 任务载荷、高效且有针对性的解决上述 各领域的实际行业需求。 我们真诚期待为你服务！","廊坊市航途科技有限公司","河北","廊坊","未填写",NA,"已缴纳 0.00 元","Not available","航途科技是一家专业从事无人机系统 解决方案厂家，以及相关产品研发生产， 销售遍布国内外，是集专业研发、生产、 销售为一体的全球无人机企业。公司产 品广泛的应用于电力巡线、石油管道巡 线、地理测绘、森林防火、警用安防、 边防巡查等行业领域。通过搭载不同的 任务载荷、高效且有针对性的解决上述 各领域的实际行业需求。","Not available","Not available","无人机整机 / 工业无人机 无人机整机 / 军警无人机 无人机整机 / 其他无人机 无人机整机","个体经营 ()",NA,2015,0,0,1,"Langfang prefecture level city in Hebei","anhui"
"济南露平无人机材料有限公司","https://www.81uav.cn/com/shng/","服务范围：材料试验，金属材料化学分析，测试检测，玻璃仪器","济南露平无人机材料有限公司：公司坚持技术立业，以客户为导向，与武汉理工大学合作，研发新型的复合材料。可以从结构设计、产品设计、建模分析、材料选型、工艺设计、模具设计、产品生产等方面为客户提供一整套的轻量化及工业防腐解决方案。   公司的宗旨是：聚焦新材料，致力于轻量化及防腐解决方案，以敬业、创新、质量创造未来。","济南露平无人机材料有限公司","山东","济南","未填写",NA,"已缴纳 0.00 元","Not available","材料试验，金属材料化学分析，测试检测，玻璃仪器","Not available","Not available","无人机整机","企业单位 ()",NA,2002,0,0,1,"Ji'nan subprovincial city and capital of Shandong province in northeast China","Shandong"
"美国FITOK阀门｜FITOK接头｜飞托克官网","https://www.81uav.cn/com/fitokvalves/","服务范围：FITOK阀门,FITOK球阀,FITOK针型阀,FITOK计量阀,FITOK安全阀,FITOK波纹管阀,FITOK隔膜阀,FITOK旋塞阀,FITOK过滤器,FITOK单向阀,FITOK泄放阀,FITOK仪表阀, FITOK阀组,FITOK管接头, FITOK卡套接头,FITOK双卡套接头,FITOK螺纹接头,FITOK焊接接头,FITOK软管,飞托克阀门,飞托克接头,飞托克针阀,飞托克球阀","Not available","美国FITOK阀门｜FITOK接头｜飞托克官网","上海","上海","100万人民币",NA,"已缴纳 0.00 元","贸易商","FITOK阀门,FITOK球阀,FITOK针型阀,FITOK计量阀,FITOK安全阀,FITOK波纹管阀,FITOK隔膜阀,FITOK旋塞阀,FITOK过滤器,FITOK单向阀,FITOK泄放阀,FITOK仪表阀, FITOK阀组,FITOK管接头, FITOK卡套接头,FITOK双卡套接头,FITOK螺纹接头,FITOK焊接接头,FITOK软管,飞托克阀门,飞托克接头,飞托克针阀,飞托克球阀","FITOK阀门|FITOK球阀|FITOK针型阀|FITOK计量阀|FITOK安全阀|FITOK波纹管阀|FITOK隔膜阀|FITOK旋塞阀|FITOK过滤器|FITOK单向阀|FITOK泄放阀|FITOK仪表阀|FITOK阀组|FITOK管接头|FITOK卡套接头|FITOK双卡套接头|FITOK螺纹接头|FITOK焊接接头|FITOK软管|飞托克阀门|飞托克接头|飞托克针阀|飞托克球阀F","FITOK阀门|FITOK球阀|FITOK针型阀|FITOK计量阀|FITOK安全阀|FITOK波纹管阀|FITOK隔膜阀|FITOK旋塞阀|FITOK过滤器|FITOK单向阀|FITOK泄放阀|FITOK仪表阀|FITOK阀组|FITOK管接头, FITOK卡套接头|FITOK双卡套接头|FITOK螺纹接头|FITOK焊接接头|FITOK软管|飞托克阀门|飞托克接头|飞托克针阀|飞托克球阀","无人机整机 反无人机系统 无人机通用件 无人机用品 设备工具仪表 无人机培训 无人机租用服务","事业单位或社会团体 (贸易商)","1-49人",2020,0,1,0,"Shanghai","Shanghai"
"昆明春晔","https://www.81uav.cn/com/lijuchun/","服务范围：建筑装饰行业，整装设备打包采购","昆明春晔建筑装饰工程有限公司成立于2018年， 经营范围为：住宅房屋建筑；市政道路工程；公路工程；水利水电工程；土石方工程；地基与基础工程；建筑工程施工；古建筑工程施工；消防设施工程；钢结构工程；园林绿化工程的设计与施工；通信工程；电力工程；电子与智能化工程的施工；建筑智能化工程的施工；建筑劳务分包；机电工程施工；特种工程（结构补强）；起重设备安装；城市及道路照明工程；建筑装饰装修工程；建筑幕墙工程；环保工程专业承包；防水防腐保温工程施工；地坪工程的设计与施工；标示标牌的制作与安装；体育、休闲娱乐工程的设计；体育器材安装服务；楼宇智能化工程；综合布线；计算机网络系统工程的设计与安装；电子与智能化工程；自有场地租赁；机械设备租赁；国内贸易、物资供销。","昆明春晔","云南","","500万人民币",NA,"已缴纳 0.00 元","服务商","建筑装饰行业，整装设备打包采购","Not available","质保","无人机整机 / 航拍无人机","企业单位 (服务商)","1-49人",2018,0,0,1,NA,"Yunnan"
